frame,joint,x,y,z
3,24,-0.009269,0.008796,0.298215
4,0,0.013857,0.000000,0.028825
4,1,0.011549,-0.021976,0.354325
4,2,0.055093,0.031547,0.328358
4,3,0.030224,0.002743,0.323738
4,4,0.006904,-0.012134,0.341710
4,5,-0.164807,0.000000,0.624226
4,6,0.238563,0.000000,0.622930
4,7,0.041487,-0.009536,0.316481
4,8,0.079107,0.029739,0.342048
4,9,0.049776,-0.024202,0.322274
4,10,0.041460,0.012392,0.337159
4,11,-0.100900,0.000000,0.014906
4,12,0.199798,0.000000,0.013049
4,13,0.036348,0.026365,0.312284
4,14,0.051497,-0.011165,0.305430
4,15,0.050771,-0.003994,0.300796
4,16,0.039731,0.040752,0.300964
4,17,0.060972,0.001548,0.244577
4,18,0.106069,0.000029,0.289867
4,19,0.067286,0.029694,0.287394
4,20,0.021277,-0.017730,0.303703
4,21,0.037740,0.015681,0.292351
4,22,0.020437,0.002384,0.281149
4,23,0.039792,0.008337,0.301685
4,24,0.031279,-0.008386,0.254132
5,0,0.017193,0.000000,0.028171
5,1,0.047138,0.021698,0.312506
5,2,0.044162,0.003102,0.324989
5,3,0.030168,-0.016616,0.322784
5,4,0.035161,0.004061,0.311698
5,5,-0.162402,0.000000,0.622926
5,6,0.240700,0.000000,0.621516
5,7,0.051054,-0.011652,0.309907
5,8,0.047244,-0.009265,0.297706
5,9,0.036861,-0.014063,0.319212
5,10,0.062234,0.011606,0.301378
5,11,-0.100358,0.000000,0.013043
5,12,0.199990,0.000000,0.011121
5,13,0.042562,0.005225,0.276607
5,14,0.066157,0.024251,0.320769
5,15,0.004223,0.005142,0.267807
5,16,0.064723,-0.043748,0.274368
5,17,0.051267,-0.028855,0.245402
5,18,0.019755,0.008516,0.274755
5,19,0.016545,0.003133,0.296298
5,20,0.060076,0.016786,0.287510
5,21,0.017240,0.021205,0.278587
5,22,0.005503,0.008963,0.278068
5,23,-0.007903,0.011995,0.306345
5,24,-0.005368,-0.007675,0.276844
6,0,0.020444,0.000000,0.027378
6,1,0.021351,-0.009193,0.296003
6,2,0.029578,-0.006874,0.327919
6,3,0.046166,0.016215,0.332655
6,4,-0.016244,-0.020868,0.324603
6,5,-0.160183,0.000000,0.621512
6,6,0.242637,0.000000,0.619997
6,7,0.061436,-0.020749,0.302574
6,8,0.081546,-0.051267,0.309871
6,9,0.034769,-0.008365,0.307543
6,10,0.062240,0.019066,0.374832
6,11,-0.100061,0.000000,0.011116
6,12,0.199936,0.000000,0.009140
6,13,0.085408,-0.001145,0.312268
6,14,0.069670,0.053751,0.301526
6,15,0.055211,-0.003447,0.327097
6,16,0.017910,0.003146,0.274472
6,17,0.048367,0.016336,0.290999
6,18,0.035369,0.023083,0.294808
6,19,0.048149,-0.004569,0.276157
6,20,0.024877,0.042419,0.287159
6,21,0.030508,0.024431,0.298374
6,22,0.036058,0.046472,0.307522
6,23,0.004628,0.014132,0.275173
6,24,0.009187,0.021914,0.286579
7,0,0.023594,0.000000,0.026450
7,1,0.022390,-0.010968,0.328659
7,2,0.026790,0.019842,0.328633
7,3,0.032807,0.062153,0.329675
7,4,0.024725,-0.024560,0.299123
7,5,-0.158160,0.000000,0.619992
7,6,0.244364,0.000000,0.618379
7,7,0.019245,-0.001600,0.316304
7,8,0.060185,-0.020129,0.305583
7,9,0.037703,0.033092,0.315947
7,10,0.058738,0.022413,0.315789
7,11,-0.100011,0.000000,0.009134
7,12,0.199637,0.000000,0.007113
7,13,0.047677,-0.008568,0.299264
7,14,0.046769,-0.004660,0.298416
7,15,0.083880,-0.026588,0.259732
7,16,0.051033,0.027648,0.293501
7,17,0.057513,0.033248,0.292215
7,18,0.041979,-0.016266,0.282041
7,19,0.026211,0.014864,0.322536
7,20,0.044265,-0.017063,0.275165
7,21,0.019061,0.000517,0.300634
7,22,-0.007800,-0.020603,0.322844
7,23,0.027013,0.008886,0.257453
7,24,0.033542,0.011547,0.254483
8,0,0.026628,0.000000,0.025392
8,1,0.006771,0.013426,0.298650
8,2,0.047309,-0.009955,0.337044
8,3,0.057048,0.037969,0.286983
8,4,0.012441,-0.001347,0.354598
8,5,-0.156343,0.000000,0.618374
8,6,0.245873,0.000000,0.616670
8,7,0.058622,-0.026476,0.333834
8,8,0.048075,0.026506,0.290466
8,9,0.068959,0.028464,0.291949
8,10,0.053568,0.009679,0.313959
8,11,-0.100206,0.000000,0.007107
8,12,0.199092,0.000000,0.005051
8,13,0.031311,0.021107,0.285448
8,14,0.048820,0.010726,0.308997
8,15,0.056912,-0.035626,0.253932
8,16,0.046756,0.007459,0.325383
8,17,0.034561,-0.002700,0.265191
8,18,0.043632,0.029234,0.285074
8,19,0.041266,0.024342,0.314794
8,20,0.046710,0.021123,0.221583
8,21,-0.013761,0.007984,0.253492
8,22,0.038610,-0.010955,0.253946
8,23,0.031922,-0.012412,0.263937
8,24,0.024414,-0.003917,0.257707
9,0,0.029531,0.000000,0.024208
9,1,0.012077,-0.032445,0.355851
9,2,0.063647,0.001148,0.308007
9,3,0.050026,-0.003808,0.335930
9,4,0.055709,0.001355,0.313027
9,5,-0.154740,0.000000,0.616665
9,6,0.247155,0.000000,0.614880
9,7,0.060853,0.000238,0.280061
9,8,0.055390,0.036225,0.303863
9,9,0.055469,-0.006463,0.314960
9,10,0.044136,0.047614,0.316716
9,11,-0.100647,0.000000,0.005045
9,12,0.198306,0.000000,0.002964
9,13,0.047722,0.006713,0.303268
9,14,0.074648,-0.013628,0.282938
9,15,0.053836,-0.003773,0.284421
9,16,0.002475,0.000039,0.283262
9,17,0.058201,-0.021425,0.301219
9,18,0.031998,-0.013108,0.316685
9,19,0.058421,-0.005425,0.285053
9,20,-0.016847,0.019312,0.284527
9,21,0.044161,-0.007564,0.297017
9,22,0.025583,0.011436,0.275547
9,23,-0.001385,-0.021274,0.286508
9,24,-0.010138,0.011347,0.242670
10,0,0.032289,0.000000,0.022906
10,1,0.064120,0.011630,0.324035
10,2,0.024594,-0.015368,0.311673
10,3,0.056215,0.005141,0.327561
10,4,0.063993,0.013768,0.334363
10,5,-0.153361,0.000000,0.614874
10,6,0.248205,0.000000,0.613016
10,7,0.049320,-0.019642,0.340133
10,8,0.077152,-0.033174,0.305645
10,9,0.097516,0.026767,0.329267
10,10,0.004743,-0.006265,0.290804
10,11,-0.101331,0.000000,0.002958
10,12,0.197282,0.000000,0.000863
10,13,0.044392,-0.000770,0.320547
10,14,0.033602,-0.003280,0.278977
10,15,0.011527,0.008111,0.317174
10,16,0.037210,0.028879,0.284653
10,17,0.044844,-0.040152,0.298198
10,18,0.065342,-0.013781,0.298816
10,19,0.033998,-0.005866,0.291608
10,20,0.017626,-0.014191,0.284545
10,21,0.010853,0.002014,0.238284
10,22,0.003854,0.021766,0.294918
10,23,0.031434,-0.001081,0.300691
10,24,0.034986,-0.009085,0.276488
11,0,0.034887,0.000000,0.021491
11,1,0.098126,-0.008955,0.282509
11,2,0.073078,0.003671,0.288996
11,3,0.018924,0.007918,0.288950
11,4,0.030361,-0.028867,0.317036
11,5,-0.152212,0.000000,0.613010
11,6,0.249018,0.000000,0.611088
11,7,0.049067,-0.035949,0.339887
11,8,0.030171,-0.008400,0.349266
11,9,0.045825,-0.010762,0.293503
11,10,0.065498,-0.011676,0.262692
11,11,-0.102254,0.000000,0.000857
11,12,0.196025,0.000000,-0.001243
11,13,0.017359,-0.013154,0.293183
11,14,0.008684,0.002504,0.284350
11,15,0.016499,-0.005965,0.330291
11,16,0.027184,-0.003509,0.307321
11,17,0.026508,0.008954,0.296684
11,18,0.000367,0.010479,0.273141
11,19,0.014328,-0.001481,0.260692
11,20,0.032447,0.016101,0.327866
11,21,0.002495,-0.007456,0.315615
11,22,-0.026452,-0.012641,0.309397
11,23,-0.013514,0.047630,0.268354
11,24,-0.023669,0.000450,0.276808
12,0,0.037313,0.000000,0.019969
12,1,0.029658,-0.009878,0.320508
12,2,0.033668,-0.020151,0.316378
12,3,0.042738,-0.032748,0.320629
12,4,0.044533,0.026929,0.302810
12,5,-0.151298,0.000000,0.611082
12,6,0.249589,0.000000,0.609105
12,7,0.028062,-0.016774,0.331036
12,8,0.060388,-0.001868,0.281998
12,9,0.037933,0.000242,0.314308
12,10,0.039194,0.026044,0.295422
12,11,-0.103413,0.000000,-0.001249
12,12,0.194541,0.000000,-0.003342
12,13,0.066173,-0.028999,0.307033
12,14,0.031916,-0.041058,0.306287
12,15,0.023600,0.021249,0.266734
12,16,0.030429,0.006750,0.256117
12,17,0.021710,0.011264,0.269974
12,18,0.010365,0.016861,0.340896
12,19,0.006622,0.009510,0.270235
12,20,0.045577,-0.011378,0.286045
12,21,0.034221,-0.021188,0.291300
12,22,-0.000289,-0.034284,0.266221
12,23,0.000013,-0.010995,0.294357
12,24,-0.012239,0.004075,0.285021
13,0,0.039556,0.000000,0.018350
13,1,0.084688,0.013497,0.301574
13,2,0.076411,0.003111,0.320297
13,3,0.022752,-0.006029,0.317923
13,4,0.017200,-0.007087,0.311412
13,5,-0.150624,0.000000,0.609099
13,6,0.249915,0.000000,0.607077
13,7,0.035087,0.028185,0.338221
13,8,0.022264,-0.038809,0.274908
13,9,0.075549,-0.024341,0.296210
13,10,0.074951,0.013923,0.318228
13,11,-0.104802,0.000000,-0.003348
13,12,0.192838,0.000000,-0.005425
13,13,0.041920,0.045165,0.283798
13,14,0.012618,0.002444,0.347658
13,15,0.065402,-0.005153,0.256242
13,16,0.030812,0.010505,0.299187
13,17,0.023207,-0.020466,0.274149
13,18,0.029118,0.028258,0.303957
13,19,0.011346,-0.004223,0.305311
13,20,0.033242,0.010158,0.234475
13,21,-0.021556,0.014804,0.301300
13,22,0.010992,0.002337,0.276752
13,23,0.004015,-0.029028,0.261598
13,24,0.003165,-0.005867,0.271185
14,0,0.041604,0.000000,0.016640
14,1,0.043508,0.007223,0.303934
14,2,0.024760,0.006158,0.278507
14,3,0.044535,-0.028594,0.332614
14,4,0.096777,-0.023352,0.327487
14,5,-0.150193,0.000000,0.607071
14,6,0.249996,0.000000,0.605015
14,7,0.039822,-0.012284,0.293707
14,8,0.056233,0.012577,0.286803
14,9,0.034962,0.022236,0.326538
14,10,0.024650,-0.006507,0.317004
14,11,-0.106413,0.000000,-0.005431
14,12,0.190924,0.000000,-0.007482
14,13,0.079901,0.004934,0.300466
14,14,0.016710,0.020789,0.298583
14,15,0.023616,0.000381,0.331671
14,16,0.057419,0.031010,0.267028
14,17,-0.002105,-0.031370,0.296104
14,18,-0.005650,-0.020721,0.305223
14,19,-0.023940,0.010819,0.255633
14,20,0.010578,0.047786,0.285598
14,21,-0.001911,-0.004014,0.272666
14,22,-0.012522,-0.033313,0.258466
14,23,0.020797,0.025446,0.287518
14,24,-0.012308,0.013113,0.279025
15,0,0.043447,0.000000,0.014848
15,1,0.058389,0.031476,0.338614
15,2,0.041273,-0.016929,0.270111
15,3,0.034656,-0.001252,0.306966
15,4,0.049435,0.008977,0.327820
15,5,-0.150008,0.000000,0.605009
15,6,0.249831,0.000000,0.602928
15,7,0.019206,-0.019152,0.281727
15,8,0.062322,0.037017,0.303558
15,9,0.056026,-0.009356,0.277945
15,10,0.031703,0.032675,0.294493
15,11,-0.108239,0.000000,-0.007488
15,12,0.188808,0.000000,-0.009501
15,13,0.032067,0.013434,0.291243
15,14,0.054203,0.000840,0.293261
15,15,0.038876,-0.011033,0.277619
15,16,0.036969,0.003501,0.272603
15,17,0.019650,0.051381,0.278659
15,18,-0.000495,0.009158,0.313726
15,19,0.006440,-0.003974,0.270418
15,20,-0.020829,-0.001325,0.299235
15,21,0.008443,0.002787,0.242265
15,22,-0.012067,-0.021809,0.221254
15,23,-0.022019,0.012513,0.254612
15,24,-0.032037,0.035500,0.286406
16,0,0.045076,0.000000,0.012983
16,1,0.072808,0.026826,0.324631
16,2,0.047687,0.009667,0.338663
16,3,0.054957,0.003305,0.311496
16,4,0.068621,-0.009907,0.338970
16,5,-0.150069,0.000000,0.602922
16,6,0.249420,0.000000,0.600826
16,7,0.067882,-0.012822,0.334618
16,8,0.013093,-0.046335,0.308893
16,9,0.029732,-0.012398,0.305220
16,10,0.064586,0.045134,0.302379
16,11,-0.110270,0.000000,-0.009507
16,12,0.186501,0.000000,-0.011474
16,13,0.018670,0.011878,0.280197
16,14,0.017946,0.021895,0.310615
16,15,-0.012852,0.020672,0.285989
16,16,0.030675,-0.020122,0.259584
16,17,0.005480,0.010275,0.275642
16,18,0.002744,0.017621,0.261341
16,19,-0.033507,0.008345,0.252022
16,20,0.003455,0.020867,0.257163
16,21,-0.016854,-0.028926,0.271528
16,22,-0.026052,-0.038423,0.266568
16,23,0.004059,-0.027372,0.275145
16,24,-0.034373,-0.039135,0.297522
17,0,0.046482,0.000000,0.011054
17,1,0.055270,0.000617,0.291759
17,2,0.010069,0.015914,0.290797
17,3,0.084370,-0.016558,0.295811
17,4,0.044961,-0.007128,0.309361
17,5,-0.150376,0.000000,0.600820
17,6,0.248766,0.000000,0.598721
17,7,0.043928,0.000806,0.282956
17,8,0.073895,-0.000191,0.286200
17,9,0.043449,-0.020991,0.282400
17,10,0.043731,0.003701,0.324349
17,11,-0.112497,0.000000,-0.011479
17,12,0.184014,0.000000,-0.013390
17,13,0.027656,0.005726,0.263950
17,14,0.049515,-0.006465,0.321336
17,15,-0.014764,0.027065,0.275810
17,16,0.011427,-0.023917,0.290820
17,17,0.035160,-0.027501,0.281720
17,18,-0.008134,0.004617,0.281320
17,19,-0.023617,-0.038173,0.270613
17,20,0.011656,-0.025300,0.272222
17,21,0.003456,-0.014273,0.248032
17,22,-0.021648,0.014211,0.270665
17,23,0.007042,-0.026493,0.317863
17,24,-0.016847,-0.015671,0.297615
18,0,0.047660,0.000000,0.009070
18,1,0.038397,-0.015302,0.295965
18,2,-0.003113,0.012984,0.299885
18,3,0.039321,-0.023121,0.331064
18,4,0.046897,-0.009895,0.315133
18,5,-0.150927,0.000000,0.598715
18,6,0.247871,0.000000,0.596621
18,7,0.033345,-0.012609,0.310506
18,8,0.056667,0.010444,0.303033
18,9,0.039933,-0.020269,0.287455
18,10,0.072262,-0.007174,0.307778
18,11,-0.114909,0.000000,-0.013395
18,12,0.181359,0.000000,-0.015240
18,13,0.012351,0.004962,0.267771
18,14,0.026371,-0.011329,0.245642
18,15,0.010948,0.017748,0.265709
18,16,0.002074,-0.009817,0.268071
18,17,0.024177,0.002169,0.270861
18,18,-0.019838,0.027712,0.271745
18,19,-0.008539,-0.025812,0.285189
18,20,-0.002443,-0.000708,0.240712
18,21,-0.043085,-0.007097,0.316671
18,22,-0.018736,0.014972,0.309475
18,23,0.007635,0.003521,0.234770
18,24,-0.019745,0.013839,0.279085
19,0,0.048603,0.000000,0.007042
19,1,0.040061,-0.026187,0.316809
19,2,0.072759,0.000074,0.298900
19,3,0.056856,-0.027773,0.287556
19,4,0.047600,-0.028002,0.312699
19,5,-0.151720,0.000000,0.596615
19,6,0.246741,0.000000,0.594539
19,7,0.045456,0.013246,0.262626
19,8,0.048034,-0.018696,0.296645
19,9,0.019306,0.005374,0.336819
19,10,0.020235,0.006804,0.295070
19,11,-0.117494,0.000000,-0.015245
19,12,0.178550,0.000000,-0.017015
19,13,0.046525,0.014918,0.297693
19,14,-0.006527,-0.009093,0.252823
19,15,-0.005829,0.027396,0.274137
19,16,-0.012521,-0.005808,0.297288
19,17,-0.011451,-0.006446,0.257564
19,18,-0.018468,0.009268,0.301187
19,19,-0.017788,0.033053,0.256406
19,20,0.029194,0.005018,0.311988
19,21,-0.035086,0.017543,0.291264
19,22,-0.038053,-0.021852,0.267989
19,23,-0.038413,0.021487,0.260307
19,24,-0.031276,0.001667,0.306788
20,0,0.049307,0.000000,0.004979
20,1,0.072214,0.016443,0.304617
20,2,0.057587,-0.038623,0.297118
20,3,0.028764,0.001450,0.297309
20,4,0.036656,0.002099,0.300238
20,5,-0.152751,0.000000,0.594533
20,6,0.245380,0.000000,0.592483
20,7,0.020908,0.014508,0.298191
20,8,0.037419,0.008182,0.314213
20,9,0.060462,0.019339,0.292158
20,10,0.079316,0.035411,0.245704
20,11,-0.120239,0.000000,-0.017020
20,12,0.175601,0.000000,-0.018706
20,13,0.038487,-0.043675,0.300464
20,14,0.037729,0.002313,0.278665
20,15,0.022194,0.015793,0.281997
20,16,-0.021494,-0.010978,0.297455
20,17,0.005649,0.001401,0.301528
20,18,-0.007705,-0.018147,0.253680
20,19,0.025212,-0.011338,0.301452
20,20,-0.010155,-0.003720,0.282139
20,21,-0.023422,-0.021508,0.287524
20,22,-0.006600,-0.012900,0.254720
20,23,0.017467,0.006159,0.287998
20,24,-0.046585,-0.018007,0.306688
21,0,0.049767,0.000000,0.002891
21,1,0.025359,-0.030520,0.313777
21,2,0.046323,-0.019059,0.277349
21,3,0.055242,0.003986,0.293797
21,4,0.034672,0.026926,0.260285
21,5,-0.154015,0.000000,0.592477
21,6,0.243796,0.000000,0.590464
21,7,0.062645,0.054697,0.281837
21,8,0.048388,-0.023146,0.272640
21,9,0.081036,0.012642,0.308956
21,10,0.050210,-0.036739,0.248927
21,11,-0.123131,0.000000,-0.018711
21,12,0.172525,0.000000,-0.020305
21,13,0.005637,0.014654,0.243901
21,14,0.026418,0.000250,0.307019
21,15,0.001640,-0.014065,0.265223
21,16,-0.005976,-0.015540,0.250661
21,17,0.003863,0.048741,0.283015
21,18,0.024865,-0.021313,0.292287
21,19,-0.005550,0.019421,0.280117
21,20,-0.030742,-0.017173,0.279038
21,21,-0.030807,0.016311,0.255796
21,22,-0.026349,0.009732,0.275336
21,23,-0.023814,0.004833,0.233480
21,24,-0.080748,0.023744,0.298171
22,0,0.049983,0.000000,0.000790
22,1,0.065892,0.019312,0.292095
22,2,-0.002574,-0.007259,0.322927
22,3,0.040532,-0.008207,0.308431
22,4,0.037370,-0.006890,0.277843
22,5,-0.155505,0.000000,0.590458
22,6,0.241996,0.000000,0.588493
22,7,0.034414,0.008686,0.317581
22,8,0.065585,-0.009212,0.281082
22,9,0.045129,-0.008641,0.238618
22,10,0.064835,-0.019655,0.284322
22,11,-0.126155,0.000000,-0.020310
22,12,0.169338,0.000000,-0.021804
22,13,0.012605,0.002955,0.268421
22,14,0.013038,-0.034952,0.278762
22,15,-0.008739,-0.005559,0.289135
22,16,-0.000278,0.017860,0.266933
22,17,0.037929,-0.011020,0.260642
22,18,-0.017568,0.009299,0.258856
22,19,0.000890,-0.005946,0.275734
22,20,-0.030977,0.029897,0.247763
22,21,-0.045661,0.020979,0.269424
22,22,-0.014561,0.028257,0.285926
22,23,-0.047403,0.001362,0.234996
22,24,-0.045692,-0.012515,0.253377
23,0,0.049952,0.000000,-0.001316
23,1,0.033547,-0.001931,0.302081
23,2,-0.007635,0.024049,0.288051
23,3,0.043123,0.009059,0.339831
23,4,0.091255,-0.012073,0.310920
23,5,-0.157215,0.000000,0.588487
23,6,0.239989,0.000000,0.586577
23,7,0.043284,-0.000216,0.267687
23,8,0.025958,0.010312,0.287623
23,9,0.078082,-0.016098,0.282216
23,10,0.027002,0.023651,0.284491
23,11,-0.129297,0.000000,-0.021809
23,12,0.166056,0.000000,-0.023196
23,13,0.023051,-0.015321,0.284669
23,14,0.000472,0.010567,0.314969
23,15,0.018551,-0.012565,0.263032
23,16,-0.004561,0.010003,0.286114
23,17,-0.027193,0.025954,0.273655
23,18,-0.029586,-0.034917,0.251078
23,19,-0.056036,0.022713,0.273277
23,20,-0.014779,-0.023473,0.215820
23,21,-0.030658,-0.006795,0.261914
23,22,-0.032476,-0.003986,0.223463
23,23,-0.032396,0.015648,0.265112
23,24,-0.084497,-0.002726,0.251879
24,0,0.049675,0.000000,-0.003415
24,1,0.056073,0.044708,0.262633
24,2,0.007431,0.015237,0.252793
24,3,0.063509,-0.000612,0.276689
24,4,0.008770,-0.008908,0.280318
24,5,-0.159135,0.000000,0.586572
24,6,0.237785,0.000000,0.584729
24,7,0.041063,0.029766,0.265096
24,8,0.046821,0.017978,0.269464
24,9,0.013046,0.013130,0.234449
24,10,0.027791,-0.029480,0.267333
24,11,-0.132540,0.000000,-0.023200
24,12,0.162695,0.000000,-0.024473
24,13,0.007645,-0.013689,0.263756
24,14,-0.003756,0.025336,0.227547
24,15,0.030603,0.017157,0.234118
24,16,0.003045,-0.009940,0.251017
24,17,-0.011069,0.010021,0.278872
24,18,-0.050286,-0.016483,0.255884
24,19,-0.013473,0.015190,0.264528
24,20,-0.008853,0.002308,0.278703
24,21,-0.046055,0.032825,0.290318
24,22,-0.024034,-0.032206,0.280342
24,23,-0.021847,0.011635,0.249435
24,24,-0.054102,0.042831,0.246962
25,0,0.049153,0.000000,-0.005497
25,1,0.026676,0.006269,0.321614
25,2,0.044206,0.006679,0.303527
25,3,0.004477,-0.015490,0.276623
25,4,0.034428,-0.017685,0.282086
25,5,-0.161256,0.000000,0.584723
25,6,0.235395,0.000000,0.582955
25,7,0.070437,0.004332,0.307137
25,8,0.029141,0.003520,0.279273
25,9,0.045263,-0.009309,0.275049
25,10,-0.014441,0.013581,0.258120
25,11,-0.135870,0.000000,-0.024477
25,12,0.159272,0.000000,-0.025630
25,13,0.016950,0.011115,0.276368
25,14,-0.001912,-0.014877,0.261977
25,15,-0.016324,0.013396,0.279132
25,16,-0.015415,0.017575,0.291812
25,17,-0.075949,-0.017443,0.297404
25,18,-0.007479,-0.007757,0.284134
25,19,-0.005552,0.017612,0.252043
25,20,-0.039987,0.012218,0.273702
25,21,-0.025448,-0.043105,0.288733
25,22,-0.037112,-0.014602,0.261722
25,23,-0.054711,0.026582,0.255196
25,24,-0.033855,-0.012971,0.253255
26,0,0.048390,0.000000,-0.007552
26,1,0.041943,0.016867,0.271628
26,2,0.005576,0.007533,0.264969
26,3,0.044441,0.027206,0.298401
26,4,0.050169,-0.048816,0.279637
26,5,-0.163569,0.000000,0.582950
26,6,0.232830,0.000000,0.581265
26,7,0.039523,0.000151,0.282029
26,8,0.007989,0.024774,0.259346
26,9,0.012697,-0.023286,0.284854
26,10,0.025817,-0.005787,0.264372
26,11,-0.139269,0.000000,-0.025633
26,12,0.155802,0.000000,-0.026661
26,13,-0.002521,0.051150,0.225450
26,14,-0.010794,0.014755,0.275347
26,15,-0.016292,0.002416,0.261030
26,16,-0.034063,-0.010317,0.296635
26,17,-0.002018,-0.009663,0.270449
26,18,-0.020764,0.015201,0.249908
26,19,-0.004116,-0.013138,0.281712
26,20,-0.023957,-0.023221,0.281100
26,21,-0.011775,0.043953,0.282096
26,22,-0.045300,-0.003345,0.296132
26,23,-0.003534,0.009384,0.273542
26,24,-0.030475,0.011855,0.270802
27,0,0.047387,0.000000,-0.009570
27,1,0.031963,-0.013154,0.266953
27,2,0.060071,0.004055,0.302056
27,3,0.008179,-0.003839,0.284661
27,4,0.043578,-0.014817,0.306449
27,5,-0.166061,0.000000,0.581260
27,6,0.230104,0.000000,0.579668
27,7,0.010422,-0.039589,0.254713
27,8,0.013377,0.011111,0.231585
27,9,0.014617,0.019873,0.295104
27,10,0.008356,0.023841,0.272143
27,11,-0.142721,0.000000,-0.026664
27,12,0.152305,0.000000,-0.027560
27,13,0.004504,-0.004725,0.271244
27,14,0.034094,0.012985,0.288821
27,15,-0.017145,-0.019713,0.263271
27,16,-0.011285,-0.014235,0.288862
27,17,-0.061042,0.039056,0.267298
27,18,0.014786,0.039310,0.306215
27,19,-0.030850,0.011986,0.248317
27,20,-0.030182,-0.000672,0.231790
27,21,-0.055073,0.026522,0.246280
27,22,-0.021662,0.000108,0.267661
27,23,-0.073229,0.008355,0.285128
27,24,0.005098,-0.004672,0.260672
28,0,0.046152,0.000000,-0.011541
28,1,0.056275,0.002312,0.275388
28,2,0.058283,0.004236,0.289805
28,3,0.063220,-0.016041,0.302274
28,4,0.021062,0.008646,0.279994
28,5,-0.168720,0.000000,0.579663
28,6,0.227230,0.000000,0.578170
28,7,0.019804,-0.075241,0.272028
28,8,-0.003382,-0.003081,0.270469
